UserId,ItemId
0,2039 125 1819 2534 1856 1717 1912 939 2812 928 541 898 1499 88 838 672 1171 709 1257 102 39 1110 34 1358 1015 2115 2092 52 69 1294 21 478 1107 242 557 404 1404 158 533 273 248 1591 817 1846 353 716 449 429 651 456
1,1724 91 3169 1981 2294 537 1237 300 422 759 3005 947 0 2801 2719 518 565 1145 98 1250 1912 1330 197 2894 330 720 3073 1035 677 291 3061 2526 2034 905 75 1492 1385 1894 535 707 253 2071 1185 1275 182 1412 1592 2646 169 159
2,2601 2440 2725 2999 2946 1036 206 3193 124 22 2488 857 2646 964 2665 951 10 728 3063 592 1775 1908 1533 2008 2013 1415 786 38 411 2176 754 87 1242 1225 2417 2498 2764 1621 879 873 625 723 1586 189 520 1933 482 1727 2352 290
3,570 351 94 93 27 375 1204 2339 1185 1596 1414 1041 197 427 59 460 1073 1532 3154 828 779 309 784 1850 4 254 870 1892 891 444 528 1519 168 1065 2079 3125 1427 315 2384 2985 619 753 3012 2046 174 1090 1491 2238 19 2018
4,2220 1287 1559 817 2601 411 11 2780 0 2 1077 175 1285 38 2352 2046 1258 936 30 1356 115 2382 1171 252 459 335 93 63 87 7 1051 412 134 305 1 543 1531 621 72 513 44 136 897 637 1794 2781 354 52 1108 567
5,2230 118 2219 1559 76 939 10 1734 11 1819 2981 1015 937 30 459 728 139 1285 635 1448 1380 497 368 453 39 1576 172 2412 1678 1415 1464 63 2499 1255 1845 52 1569 1260 378 3023 668 873 2491 1233 2504 2177 2167 177 1586 2114
6,428 295 2115 1250 2362 2408 21 1288 256 134 1883 87 1365 244 38 2288 997 991 1523 2476 949 443 1648 1964 83 716 139 1540 273 50 879 2718 2568 2297 2706 210 2440 1426 2200 535 1336 181 2347 3193 2293 45 1679 1931 1582 197
7,885 128 719 181 1348 17 2300 129 2452 302 894 2236 1041 838 2251 871 1430 775 2636 437 179 92 1000 2403 102 165 448 52 2708 805 67 672 2510 1840 747 2220 1654 1717 2979 921 1247 2368 1318 2393 21 2445 657 1198 1474 1257
8,2569 2138 550 107 304 326 338 1556 489 1573 852 11 467 1238 7 642 81 1913 709 52 1339 1395 1409 123 1744 1771 367 539 738 592 2652 712 2327 1995 790 428 2564 798 3100 1747 870 2313 324 161 1373 435 860 61 2493 93
9,93 1832 348 1709 1707 1813 129 2608 170 2300 94 394 1981 3010 1551 179 2546 947 357 446 1107 69 2313 590 1603 186 3047 2333 21 1340 3079 698 1207 2706 81 207 102 1835 1014 533 2431 687 1224 709 943 2034 1355 427 1888 1050
10,84 1366 113 539 592 546 728 1913 1771 358 2752 278 181 1720 2138 2654 2612 963 2176 170 2319 194 418 3118 2440 1584 3017 1823 2382 2735 411 1550 1034 2582 2124 1062 2386 1109 1233 2270 498 311 748 2028 2056 20 2313 707 2017 366
11,319 3069 213 198 1498 1603 288 2076 3172 93 348 86 1293 191 175 354 174 153 2065 151 2423 435 1892 2907 1856 1708 108 3101 2816 125 1394 79 1353 1364 1351 461 1418 761 66 561 1803 897 271 2213 3185 2650 67 693 837 21
12,206 2145 1003 26 66 315 1558 354 832 1603 61 170 1170 2195 990 750 3091 2625 17 1048 2472 2222 9 2515 1835 1977 3061 109 2854 129 2735 2056 3125 434 1708 153 830 253 2387 1001 1656 2235 21 2135 634 1229 2 1240 2837 2368
13,3011 22 580 1414 881 1964 421 11 2195 2770 86 43 1681 173 3196 272 250 238 6 160 2908 243 888 3198 245 3 218 1395 10 267 435 21 340 95 1905 2575 2136 39 98 365 2997 1580 717 3050 0 537 1631 404 758 1094
14,56 2442 1394 1014 21 107 993 912 1687 2607 3185 471 2588 153 372 561 2007 972 35 1220 233 408 1425 1574 98 311 1526 746 1947 54 965 79 384 936 1835 1024 1413 663 569 411 93 1964 2239 1047 1118 520 1752 3094 1243 191
15,1540 0 6 1 716 1255 453 1524 129 431 166 1171 1733 1734 213 2238 1068 1043 3023 2300 1701 437 2557 1084 1430 67 1892 1453 1564 1284 2706 354 491 2145 2780 1336 663 276 1834 1955 495 211 4 925 115 1743 2760 687 978 2207
16,36 38 1965 349 2220 429 618 856 150 1095 1041 609 339 1201 412 2129 901 82 124 805 553 1453 822 451 669 635 1169 1540 1552 1542 1959 3103 2819 535 1576 539 2027 1072 486 3198 2524 939 21 425 1775 3160 3028 354 1682 156
17,155 592 1296 1135 1464 2764 201 279 3106 2013 1087 1977 422 640 759 1284 1680 1941 1289 11 2488 931 2012 1340 2572 377 425 84 2393 40 1117 897 270 358 339 2492 2581 232 2654 2748 194 1063 1386 2203 648 748 2470 1823 9 2502
18,338 63 386 2318 87 2601 2254 198 56 2764 947 257 546 1525 339 2272 1478 1450 708 1297 817 1642 2882 2003 182 113 723 1042 94 2157 2317 539 411 1933 1339 1497 707 9 1995 278 1813 599 3100 85 1464 2180 1402 1221 2620 638
19,21 518 88 517 2375 2801 850 779 565 919 51 1257 761 1041 2441 2528 449 168 1079 694 2213 238 874 1110 1523 82 2660 353 345 34 86 1529 915 1118 546 543 1375 2812 87 1743 1717 75 108 1377 2689 3119 557 660 997 2589
20,1304 2289 2204 1648 931 286 1468 2515 1484 212 2603 1284 2222 1297 131 2054 1536 1535 1569 2257 200 443 295 482 1400 3069 3063 1510 2445 2220 3023 1701 2086 143 447 2412 1424 1967 1796 499 1079 2102 1790 293 2026 2001 1158 454 2489 1088
21,1491 1069 17 94 357 2741 1963 2006 2008 683 1404 2357 335 938 1204 1262 85 2589 90 88 549 415 228 0 11 121 34 633 136 570 155 175 449 93 2 2661 698 354 330 1228 125 1610 168 2587 591 412 1850 1046 757 1696
22,2420 36 411 1351 671 942 666 728 1464 270 170 971 180 9 7 2747 1385 366 467 441 873 278 99 1240 442 2686 105 257 627 63 2189 2056 1135 1331 1554 206 1276 238 3011 888 11 1525 2531 523 2569 1474 508 152 259 548
23,16 716 2362 2741 2930 1043 2039 2389 1814 2488 649 17 2843 1210 1238 1243 580 36 1251 6 473 2847 1695 282 705 1926 38 1665 2840 262 1650 864 242 579 78 1512 805 1015 1065 86 435 2289 2988 1729 1936 1127 737 2403 854 2030
24,1393 1365 1895 1876 76 1834 1809 1216 360 1415 2254 1180 1272 2408 350 2677 1255 1648 443 1574 1153 1094 973 1572 2291 595 2748 549 167 538 1484 1486 2094 2916 525 2228 1500 963 592 2016 275 2558 2572 786 2882 1939 2718 2713 1530 2270
25,1683 3179 4 723 151 209 142 2463 53 20 1185 315 1369 44 2480 651 874 2719 1041 805 604 46 669 350 1236 497 2985 582 394 1492 1122 674 591 342 1588 3002 715 168 1404 1743 2452 3026 1458 470 1127 672 2921 2867 867 2751
26,1524 2076 2220 2448 354 233 88 2698 66 2816 1892 435 1042 2229 2034 1754 761 3185 3174 1355 1197 2504 1310 580 89 268 2880 1808 1110 1596 374 544 3198 197 2702 1514 59 93 2079 730 715 186 1342 0 2320 347 163 2326 2741 2433
27,1158 1457 2247 142 458 1768 1288 1458 2054 1677 1965 1540 2135 502 2954 2129 1555 850 2091 2699 277 1239 2930 2113 2925 1391 1082 2733 1931 414 2273 1510 2673 486 1084 909 956 1557 927 758 3093 59 1834 640 168 609 211 2901 89 697
28,1378 894 634 2617 89 1211 669 1004 1422 1085 2368 1491 1416 1158 197 365 3130 481 274 1124 412 2458 2526 1274 2373 2022 2026 3064 413 954 279 308 1222 198 502 1000 1178 2523 2603 386 909 1668 196 990 315 1395 2302 47 534 88
29,137 1145 1144 2476 2564 1275 1277 441 0 153 958 1710 888 1384 2389 1467 2673 2294 347 1739 898 1841 537 991 509 651 361 1738 1014 1432 3185 1243 38 1496 18 1639 2463 1628 529 1634 340 179 127 2542 3094 95 109 2655 176 2801
30,1276 1559 888 2530 1986 2352 278 539 10 1284 1771 2492 2896 1464 592 19 356 350 1232 2601 523 61 63 3030 1864 1703 1693 2291 1671 43 1653 87 305 38 2572 1576 1098 3113 366 29 319 6 68 947 951 754 418 2176 1612 56
31,2082 1110 272 2721 3011 2942 435 2091 67 1743 163 1051 11 415 951 2197 245 720 348 82 2352 817 949 2646 179 213 4 1171 367 3098 502 83 1203 340 3148 880 21 2812 1174 107 1553 938 2297 428 2902 103 3197 495 497 1775
32,374 844 2294 2867 231 817 661 18 1356 3108 5 717 348 441 1358 11 2839 2526 683 2844 1273 34 775 2305 267 2889 2575 2770 1091 1472 565 563 92 94 1077 938 99 1404 2627 2419 3085 1892 1427 2750 976 182 1879 449 1185 2089
33,759 66 2294 2542 137 2875 991 163 888 1494 2996 529 509 441 1658 2177 43 2413 2971 537 179 3110 318 1709 300 3 2942 2114 1981 28 1790 2747 435 1145 2415 404 95 2432 30 2171 365 3085 947 3198 2232 173 1523 2248 55 1687
34,1035 763 811 288 1260 1454 885 2941 938 974 82 39 1638 1068 1210 175 173 1990 1154 22 749 103 694 98 1532 1710 394 448 99 2529 366 2547 1041 1814 1501 1683 1106 2926 943 682 1036 674 922 121 421 3085 2 285 471 1166
35,1535 705 1255 1284 1794 579 134 549 2077 1941 1733 2856 1926 429 1346 414 314 175 734 922 949 2220 1020 1955 3160 2289 1108 1090 1845 1077 1718 72 121 437 166 354 2170 1849 1959 388 1371 535 3125 2264 2158 0 2022 2227 2754 2483
36,107 885 2397 2294 2448 1197 253 382 2082 2694 427 1964 185 179 2966 1566 1042 861 2708 1432 1369 142 1709 1095 198 1413 1891 3115 1805 1892 513 205 544 273 1174 2707 768 102 1645 3098 354 750 2546 2285 58 941 533 2977 1280 1908
37,1072 1285 1287 1901 621 1926 1959 2431 1965 1364 1171 310 2264 65 1780 2411 683 709 2279 1383 1718 2289 499 314 2072 2345 986 52 815 466 186 39 1860 2375 1828 1819 3160 2251 5 2567 128 1185 2117 165 672 413 1596 44 34 826
38,282 1255 554 1386 1619 2539 176 279 1536 73 0 1149 2 1598 276 1817 635 47 3105 6 499 290 60 2958 1020 259 824 124 1171 82 1965 87 2930 58 1732 962 1790 934 378 744 422 1736 2243 3182 533 888 331 1622 1535 909
39,853 2423 2920 1404 47 403 175 1378 2158 449 1204 2167 2207 1287 2170 2352 20 314 2890 128 268 949 716 1041 115 2528 151 705 89 1740 683 2745 754 324 682 1894 1178 2483 2422 579 1959 2632 2539 1780 1198 1535 82 487 185 2035
40,1683 582 590 651 814 315 915 64 975 2625 2546 3119 1181 102 2159 1469 2023 1665 155 3179 2528 20 890 702 1576 891 1415 1236 341 448 1153 1318 641 856 1302 2178 2386 2894 21 342 1772 1291 2933 206 1579 749 232 557 1592 4
41,1610 1448 1959 2760 21 2774 1043 2498 2523 115 1536 362 1586 592 2445 1829 655 1303 1422 2393 3048 3130 3068 3008 528 2859 2646 2022 2787 663 16 2 92 1936 47 2026 610 1250 549 2145 2706 2871 978 2939 2867 39 2488 1817 1073 1967
42,1739 1084 1042 139 38 1734 1205 158 60 528 879 1936 2960 2801 1834 1586 1687 1346 1154 2273 295 1110 2632 1171 1780 1145 727 1426 448 2812 593 2051 1709 108 610 716 536 2054 272 1535 2702 1060 989 435 1787 2909 2930 1023 1657 1433
43,6 228 2737 2632 314 387 510 655 354 1521 720 716 481 1083 2054 1144 1314 1046 983 2393 1139 2910 709 2727 2734 2733 1825 1907 2195 957 1654 107 2642 357 1293 2500 1466 17 1243 1082 1035 499 417 3026 734 1084 2190 2167 2829 2720
44,2527 151 1631 21 174 448 1717 1070 962 1724 1369 1950 1511 383 17 986 165 51 153 422 368 2719 3061 32 89 2049 890 354 2137 2294 102 775 2955 1549 922 565 2452 168 1145 435 450 353 2539 134 975 915 1667 1492 2618 2309
45,1419 3185 1 6 1255 39 1068 1964 2114 83 86 2207 2230 2305 166 437 1035 233 347 1448 888 272 288 2 1524 122 1348 438 3 51 1754 1453 213 331 2735 2276 348 5 1091 939 1047 1139 1030 1501 443 173 2044 1293 2076 2557
46,1319 356 786 257 2386 336 3129 3075 418 546 2519 1550 1544 1079 1135 2572 638 2291 2654 754 523 738 2175 2695 2981 2202 1584 422 1233 1332 2272 463 1399 1160 3017 305 592 326 1676 1653 2176 1766 2138 113 1240 2713 1156 723 1412 3122
